Artist,Song_Name,Lyric
Ed Sheeran,Shape Of You,"The club isn't the best place to find a lover
So the bar is where I go
Me and my friends at the table doing shots
Drinking fast and then we talk slow
And you come over and start up a conversation with just me
And trust me I'll give it a chance now
Take my hand, stop
Put Van The Man on the jukebox
And then we start to dance
And now I'm singing like

Girl, you know I want your love
Your love was handmade for somebody like me
Come on now, follow my lead
I may be crazy, don't mind me
Say, boy, let's not talk too much
Grab on my waist and put that body on me
Come on now, follow my lead
Come, come on now, follow my lead

I'm in love with the shape of you
We push and pull like a magnet do
Although my heart is falling too
I'm in love with your body
Last night you were in my room
And now my bed sheets smell like you
Every day discovering something brand new
I'm in love with your body
Oh-I-oh-I-oh-I-oh-I
I'm in love with your body
Oh-I-oh-I-oh-I-oh-I
I'm in love with your body
Oh-I-oh-I-oh-I-oh-I
I'm in love with your body
Every day discovering something brand new
I'm in love with the shape of you

One week in we let the story begin
We're going out on our first date
You and me are thrifty
So go all you can eat
Fill up your bag and I fill up a plate
We talk for hours and hours about the sweet and the sour
And how your family is doing okay
Leave and get in a taxi, then kiss in the backseat
Tell the driver make the radio play
And I'm singing like

Girl, you know I want your love
Your love was handmade for somebody like me
Come on now, follow my lead
I may be crazy, don't mind me
Say, boy, let's not talk too much
Grab on my waist and put that body on me
Come on now, follow my lead
Come, come on now, follow my lead

I'm in love with the shape of you
We push and pull like a magnet do
Although my heart is falling too
I'm in love with your body
Last night you were in my room
And now my bed sheets smell like you
Every day discovering something brand new
I'm in love with your body
Oh-I-oh-I-oh-I-oh-I
I'm in love with your body
Oh-I-oh-I-oh-I-oh-I
I'm in love with your body
Oh-I-oh-I-oh-I-oh-I
I'm in love with your body
Every day discovering something brand new
I'm in love with the shape of you

Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on

I'm in love with the shape of you
We push and pull like a magnet do
Although my heart is falling too
I'm in love with your body
Last night you were in my room
And now my bed sheets smell like you
Every day discovering something brand new
I'm in love with your body
Come on, be my baby, come on
Come on, be my baby, come on
I'm in love with your body
Come on, be my baby, come on
Come on, be my baby, come on
I'm in love with your body
Come on, be my baby, come on
Come on, be my baby, come on
I'm in love with your body
Every day discovering something brand new
I'm in love with the shape of you"
Ed Sheeran,Perfect,"I found a love for me
Darling, just dive right in
and follow my lead
Well, I found a girl, beautiful and sweet
Oh, I never knew you were
The someone waiting for me
'Cause we were just kids
When we fell in love
Not knowing what it was
I will not give you up this time
But darling, just kiss me slow
Your heart is all I own
And in your eyes you're holding mine

Baby, I'm dancing in the dark
With you between my arms
Barefoot on the grass
Listening to our favorite song
When you said you looked a mess
I whispered underneath my breath
But you heard it, darling
You look perfect tonight

Well I found a woman, stronger
Than anyone I know
She shares my dreams
I hope that someday I'll share her home
I found a love, to carry
More than just my secrets
To carry love, to carry
children of our own
We are still kids
But we're so in love
Fighting against all odds
I know we'll be alright this time
Darling, just hold my hand
Be my girl, I'll be your man
I see my future in your eyes

Baby, I'm dancing in the dark
With you between my arms
Barefoot on the grass
Listening to our favorite song
When I saw you in that dress
Looking so beautiful
I don't deserve this, darling
You look perfect tonight

Baby, I'm dancing in the dark
With you between my arms
Barefoot on the grass
Listening to our favorite song
I have faith in what I see
Now I know I have met an angel in person
And she looks perfect, I don't deserve this
You look perfect tonight"
Ed Sheeran,Photograph,"Loving can hurt
Loving can hurt sometimes
But it's the only thing that I know
And when it gets hard
You know it can get hard sometimes
It is the only thing that makes us feel alive

We keep this love in a photograph
We made these memories for ourselves
Where our eyes are never closing
Hearts were never broken
And time's forever frozen still

So you can keep me inside the pocket
Of your ripped jeans
Holding me close until our eyes meet
You won't ever be alone
Wait for me to come home

Loving can heal
Loving can mend your soul
And it's the only thing that I know
I swear it will get easier
Remember that with every piece of you
And it's the only thing we take with us when we die

We keep this love in this photograph
We made these memories for ourselves
Where our eyes are never closing
Our hearts were never broken
And time's forever frozen still

So you can keep me inside the pocket
Of your ripped jeans
Holding me close until our eyes meet
You won't ever be alone
And if you hurt me that's okay baby
Only words bleed
Inside these pages you just hold me
And I won't ever let you go
Wait for me to come home

Oh you can fit me
Inside the necklace you got
When you were sixteen
Next to your heartbeat where I should be
Keep it deep within your soul

And if you hurt me
Well that's okay baby
Only words bleed
Inside these pages you just hold me
And I won't ever let you go

When I'm away
I will remember how you kissed me
Under the lamppost back on 6th street
Hearing you whisper through the phone
Wait for me to come home"
Ed Sheeran,Thinking Out Loud,"When your legs don't work like they used to before
And I can't sweep you off of your feet
Will your mouth still remember the taste of my love
Will your eyes still smile from your cheeks

Darlin' I will be lovin' you
Till we're seventy
Baby my heart could still fall as hard
At twenty three

I'm thinkin' bout how
People fall in love in mysterious ways
Maybe just the touch of a hand
Me, I fall in love with you every single day
I just wanna tell you I am

So honey now
Take me into your lovin' arms
Kiss me under the light of a thousand stars
Place your head on my beating heart
I'm thinking out loud
Maybe we found love right where we are

When my hair's all but gone and my memory fades
And the crowds don't remember my name
When my hands don't play the strings the same way (mm)
I know you will still love me the same

Cause honey your soul
Could never grow old
It's evergreen
Baby your smile's forever in my mind and memory

I'm thinkin' bout how
People fall in love in mysterious ways
Maybe it's all part of a plan
I'll just keep on making the same mistakes
Hoping that you'll understand

That baby now (ooh)
Take me into your loving arms
Kiss me under the light of a thousand stars
Place your head on my beating heart
I'm thinking out loud
Maybe we found love right where we are

Baby now
Take me into your loving arms
Kiss me under the light of a thousand stars (oh darlin')
Place your head on my beating heart
I'm thinking out loud

Maybe we found love right where we are
Maybe we found love right where we are
And we found love right where we are"
Ed Sheeran,Bad Habits,"(One, two, three, four)
Ooh, ooh

Every time you come around, you know I can't say no
Every time the sun goes down, I let you take control
I can feel the paradise before my world implodes
And tonight I had something wonderful

My bad habits lead to late nights, endin' alone
Conversations with a stranger I barely know
Swearin' this will be the last but it probably won't
I got nothin' left to lose, or use, or do
My bad habits lead to wide eyes stare into space
And I know I'll lose control of the things that I say
Yeah, I was lookin' for a way out, now I can't escape
Nothin' happens aftеr two, it's true, it's true
My bad habits lead to you

Ooh-ooh, ooh-ooh
My bad habits lеad to you
Ooh-ooh, ooh-ooh
My bad habits lead to you

Every pure intention ends when the good times start
Fallin' over everything to reach the first time's spark
It started under neon lights and then it all got dark
I only know how to go too far

My bad habits lead to late nights, endin' alone
Conversations with a stranger I barely know
Swearin' this will be the last but it probably won't
I got nothin' left to lose, or use, or do
My bad habits lead to wide eyes stare into space
And I know I'll lose control of the things that I say
Yeah, I was lookin' for a way out, now I can't escape
Nothin' happens after two, it's true, it's true
My bad habits lead to you

Ooh-ooh, ooh-ooh
My bad habits lead to you
Ooh-ooh, ooh-ooh

We took the long way 'round
And burned 'til the fun ran out, now

My bad habits lead to late nights, endin' alone
Conversations with a stranger I barely know
Swearin' this will be the last but it probably won't
I got nothin' left to lose, or use, or do
My bad habits lead to wide eyes stare into space
And I know I'll lose control of the things that I say
Yeah, I was lookin' for a way out, now I can't escape
Nothin' happens after two, it's true, it's true
My bad habits lead to you

Ooh-ooh, ooh-ooh
My bad habits lead to you
Ooh-ooh, ooh-ooh
My bad habits lead to you"
Ed Sheeran,Shivers,"I took an arrow to the heart
I never kissed a mouth that taste like yours
Strawberries and somethin' more
Ooh, yeah, I want it all
Lipstick on my guitar, ooh
Fill up the engines, we can drive real far
Go dancing underneath the stars
Ooh, yeah, I want it all, mm
Ooh, you got me feeling like

I wanna be that guy
I wanna kiss your eyes
I wanna drink that smile
I wanna feel like I'm
Like my soul's on fire
I wanna stay up all day and all night, mm
Yeah, you got me singing like

Ooh, I love it when you do it like that
And when you're close up, give me thе shivers
Oh, baby, you wanna dance 'til the sunlight cracks
And whеn they say the party's over then we bring it right back
And we say, ooh, I love it when you do it like that
And when you're close up, give me the shivers
Oh, baby you wanna dance 'til the sunlight cracks
And when they say the party's over then we bring it right back

Into the car, on the back seat in the moon lit dark
Wrap me up between your legs and arms
Ooh, I can't get enough
You know you could tear me apart
Put me back together and take my heart
I never thought that I could love this hard
Ooh, I can't get enough
Ooh, you got me feeling like

I wanna be that guy
I wanna kiss your eyes
I wanna drink that smile
I wanna feel like I'm
Like my soul's on fire
I wanna stay up all day and all night
Yeah, you got me singing like

Ooh, I love it when you do it like that
And when you're close up, give me the shivers
Oh, baby, you wanna dance 'til the sunlight cracks
And when they say the party's over then we bring it right back
And we say, ooh, I love it when you do it like that
And when you're close up, give me the shivers
Oh, baby you wanna dance 'til the sunlight cracks
And when they say the party's over then we bring it right back

Baby, you are so hot you make me shiver
With the fire you got, this thing is started
I don't want it to stop, you know you make me shiver, oh, oh
Baby, you are so hot you make me shiver
With the fire you got, this thing is started
I don't want it to stop, you know you make me shiver
Yeah, you got me singing like

Ooh, I love it when you do it like that
And when you're close up, give me the shivers
Oh, baby, you wanna dance 'til the sunlight cracks
And when they say the party's over then we bring it right back
And we say, ooh, I love it when you do it like that
And when you're close up, give me the shivers
Oh, baby you wanna dance 'til the sunlight cracks
And when they say the party's over then we bring it right back
And we say, ooh, I love it when you do it like that
And when you're close up, give me the shivers
Oh, baby you wanna dance 'til the sunlight cracks
And when they say the party's over then we bring it right back (Yeah)"
Ed Sheeran,The Joker and the Queen,"How was I to know? It's a crazy thing
I showed you my hand and you still let me win
And who was I to say that this was meant to be?
The road that was broken brought us together

And I know you could fall for a thousand kings
And hearts that would give you a diamond ring
When I fold, you see the best in me
The joker and the queen

I was upside down from the outside in
You came to the table and you went all in
With a single word and a gentle touch
You turned a moment into forever

And I know you could fall for a thousand kings
And hearts that could give you a diamond ring
When I fold, you see the best in me
The joker and the queen

And I know you could fall for a thousand kings
And hearts that would givе you a diamond ring
When I folded, you saw the bеst in me
The joker and the queen
The joker and the queen"
Ed Sheeran,I Don't Care (With Justin Bieber),"I'm at a party I don't wanna be at
And I don't ever wear a suit and tie, yeah
Wonderin' if I could sneak out the back
Nobody's even lookin' me in my eyes
Can you take my hand?
Finish my drink, say, ""shall we dance? "" (hell, yeah)
You know I love ya, did I ever tell ya?
You make it better like that

Don't think I fit in at this party
Everyone's got so much to say (yeah)
I always feel like I'm nobody, mm
Who wants to fit in anyway?

'cause I don't care when I'm with my baby, yeah
All the bad things disappear
And you're making me feel like maybe I am somebody
I can deal with the bad nights
When I'm with my baby, yeah
Ooh, ooh, ooh, ooh, ooh, ooh
'cause I don't care
As long as you just hold me near
You can take me anywhere
And you're making me feel
Like I'm loved by somebody
I can deal with the bad nights
When I'm with my baby, yeah
Ooh, ooh, ooh, ooh, ooh, ooh

We at a party we don't wanna be at
Tryna talk, but we can't hear ourselves
Press your lips, I'd rather kiss 'em right back
With all these people all around
I'm crippled with anxiety
But I'm told it's where we're s'posed to be
You know what?
It's kinda crazy 'cause I really don't mind
And you make it better like that

Don't think we fit in at this party
Everyone's got so much to say, oh yeah, yeah
When we walked in, I said I'm sorry, mm
But now I think that we should stay

'cause I don't care when I'm with my baby, yeah
All the bad things disappear
Yeah, you're making me feel like maybe I am somebody
I can deal with the bad nights
when I'm with my baby, yeah
Ooh, ooh, ooh, ooh, ooh, ooh (oh yeah, yeah, yeah)
'cause I don't care
As long as you just hold me near
You can take me anywhere
And you're making me feel
Like I'm loved by somebody
I can deal with the bad nights
when I'm with my baby, yeah
Ooh, ooh, ooh, ooh, ooh, ooh (no)

I don't like nobody
But it's like you're the only one here
I don't like nobody but you
Baby, I don't care
I don't like nobody but you
I hate everyone here
I don't like nobody but you
Baby, yeah

'cause I don't care (don't care)
When I'm with my baby, yeah (oh yeah)
All the bad things disappear (disappear)
And you're making me feel like maybe I am somebody
(maybe I'm somebody)
I can deal with the bad nights (with the bad nights)
When I'm with my baby, yeah
Ooh, ooh, ooh, ooh, ooh, ooh (oh yeah, yeah, yeah)
'cause I don't care
As long as you just hold me near
(me near)
You can take me anywhere
(anywhere, anywhere)
And you're making me feel like
I'm loved by somebody
(I'm loved by somebody, yeah, yeah, yeah)
I can deal with the bad nights
When I'm with my baby, yeah
Ooh, ooh, ooh, ooh, ooh, ooh"
Ed Sheeran,Bad Habits (Feat. Bring Me The Horizon),"Woo-ooh, ooh-ooh

Every time you come around, you know I can't say no
Every time the sun goes down, I let you take control
I can feel the paradise before my world implodes
And tonight had something wonderful

My bad habits lead to late nights endin' alone
Conversations with a stranger I barely know
Swearin' this'll be the last, but it probably won't
I got nothin' left to lose, or use, or do
My bad habits lead to wide eyes starin' at space
And I know I lose control of the things that I say
I was lookin' for a way out, now I can't escape
Nothin' happens after two, it's true
It's true my bad habits lеad to you

Woah-ooh, ooh-ooh
Woah-ooh, ooh-ooh

Every pure intention еnds when the good times start
Fallin' over everything to reach the first time spark
We started under neon lights and then it all got dark
I only know how to go too far

My bad habits lead to late nights endin' alone
Conversations with a stranger I barely know
Swearin' this'll be the last, but it probably won't
I got nothin' left to lose, or use, or do
My bad habits lead to wide eyes starin' at space
And I know I lose control of the things that I say
I was lookin' for a way out, now I can't escape
Nothin' happens after two, it's true
It's true my bad habits lead to you

Woah-ooh, ooh-ooh
My bad habits lead to you
Woah-ooh, ooh-ooh
My bad habits lead to you
Woah-ooh, ooh-ooh
My bad habits lead to you
Woah-ooh, ooh-ooh

We took the long way 'round
And burned 'til the fun ran out
We took the long way 'round
And burned 'til the fun ran out, now

My bad habits lead to late nights endin' alone
Conversations with a stranger I barely know
Swearin' this'll be the last, (Oh!) but it probably won't
I got nothin' left to lose, or use, or do
My bad habits lead to you

Woah-ooh, ooh-ooh
My bad habits lead to you
Woah-ooh, ooh-ooh
My bad habits lead to you, you!
Bad habits lead to you, you!
It's true, my bad habits lead to you!"
Ed Sheeran,Perfect Duet (With Beyoncé),"I found a love for me
Oh, darling just dive right in and follow my lead
Well I found a girl, beautiful and sweet
Oh, I never knew you were the
someone waiting for me

Cause we were just kids when
we fell in love
Not knowing what it was,
I will not give you up this time
Darling just kiss me slow,
your heart is all I own
And in your eyes you're holding mine

Baby I'm dancing in the dark,
with you between my arms
Barefoot on the grass, while
listening to our favourite song
When you said you looked a mess,
I whispered underneath my breath
But you heard it,
darling you look perfect tonight

Well I found a man, stronger
than anyone I know
He shares my dreams,
I hope that someday we'll share a home
I found a love, to carry more
than just my secrets
To carry love, to carry
children of our own

We are still kids,
but we're so in love,
fighting against all odds
I know we'll be alright this time
Darling just hold my hand,
be your girl, you'll be my man
And I see my future in your eyes

Well baby I'm dancing in the dark,
with you between my arms
Barefoot on the grass,
while listening to our favourite song
When I saw you in that dress,
looking so beautiful
I don't deserve this,
darling you look perfect tonight

Baby I'm dancing in the dark,
with you between my arms
Barefoot on the grass,
while listening to our favourite song
I have faith in what I see
Now I know I have met an angel in person
And she looks perfect, I don't deserve this
You look perfect tonight"
